## -*- mode: org; -*-

## The data in this file are auto-generated from
##    https://interactivebrokers.github.io/tws-api/message_codes.html

| Code  | TWS message                                                                                                                                                                                                                                                                   | Additional notes                                                                                                                                                                                                                                                                                                                                                                                                                         |
|-------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1100  | Connectivity between IB and the TWS has been lost.                                                                                                                                                                                                                            | Your TWS/IB Gateway has been disconnected from IB servers. This can occur because of an internet connectivity issue, a nightly reset of the IB servers, or a competing session.                                                                                                                                                                                                                                                          |
| 1101  | Connectivity between IB and TWS has been restored- data lost.*                                                                                                                                                                                                                | The TWS/IB Gateway has successfully reconnected to IB's servers. Your market data requests have been lost and need to be re-submitted.                                                                                                                                                                                                                                                                                                   |
| 1102  | Connectivity between IB and TWS has been restored- data maintained.                                                                                                                                                                                                           | The TWS/IB Gateway has successfully reconnected to IB's servers. Your market data requests have been recovered and there is no need for you to re-submit them.                                                                                                                                                                                                                                                                           |
| 1300  | TWS socket port has been reset and this connection is being dropped. Please reconnect on the new port - <port_num>                                                                                                                                                            | The port number in the TWS/IBG settings has been changed during an active API connection.                                                                                                                                                                                                                                                                                                                                                |
| 2100  | New account data requested from TWS. API client has been unsubscribed from account data.                                                                                                                                                                                      | The TWS only allows one IBApi.EClient.reqAccountUpdates request at a time. If the client application attempts to subscribe to a second account without canceling the previous subscription, the new request will override the old one and the TWS will send this message notifying so.                                                                                                                                                   |
| 2101  | Unable to subscribe to account as the following clients are subscribed to a different account.                                                                                                                                                                                | If a client application invokes IBApi.EClient.reqAccountUpdates when there is an active subscription <b>started by a different client</b>, the TWS will reject the new subscription request with this message.                                                                                                                                                                                                                           |
| 2102  | Unable to modify this order as it is still being processed.                                                                                                                                                                                                                   | If you attempt to modify an order before it gets processed by the system, the modification will be rejected. Wait until the order has been fully processed before modifying it. See Placing Orders for further details.                                                                                                                                                                                                                  |
| 2103  | A market data farm is disconnected.                                                                                                                                                                                                                                           | Indicates a connectivity problem to an IB server. Outside of the nightly IB server reset, this typically indicates an underlying ISP connectivity issue.                                                                                                                                                                                                                                                                                 |
| 2104  | Market data farm connection is OK                                                                                                                                                                                                                                             | A notification that connection to the market data server is ok. This is a notification and <b>not</b> a true error condition, and is expected on first establishing connection.                                                                                                                                                                                                                                                          |
| 2158  | Sec-def data farm connection is OK                                                                                                                                                                                                                                            | A notification that connection to the Security definition data server is ok. This is a notification and <b>not</b> a true error condition, and is expected on first establishing connection.                                                                                                                                                                                                                                             |
| 2105  | A historical data farm is disconnected.                                                                                                                                                                                                                                       | Indicates a connectivity problem to an IB server. Outside of the nightly IB server reset, this typically indicates an underlying ISP connectivity issue.                                                                                                                                                                                                                                                                                 |
| 2106  | A historical data farm is connected.                                                                                                                                                                                                                                          | A notification that connection to the market data server is ok. This is a notification and <b>not</b> a true error condition, and is expected on first establishing connection.                                                                                                                                                                                                                                                          |
| 2107  | A historical data farm connection has become inactive but should be available upon demand.                                                                                                                                                                                    | Whenever a connection to the historical data farm is not being used because there is not an active historical data request, the connection will go inactive in IB Gateway. This does <b>not</b> indicate any connectivity issue or problem with IB Gateway. As soon as a historical data request is made the status will change back to active.                                                                                          |
| 2108  | A market data farm connection has become inactive but should be available upon demand.                                                                                                                                                                                        | Whenever a connection to our data farms is not needed, it will become dormant. There is nothing abnormal nor wrong with your client application nor with the TWS. You can safely ignore this message.                                                                                                                                                                                                                                    |
| 2109  | Order Event Warning: Attribute "Outside Regular Trading Hours" is ignored based on the order type and destination. PlaceOrder is now processed.                                                                                                                               | Indicates the outsideRth flag was set for an order for which there is not a regular vs outside regular trading hour distinction                                                                                                                                                                                                                                                                                                          |
| 2110  | Connectivity between TWS and server is broken. It will be restored automatically.                                                                                                                                                                                             | Indicates a connectivity problem between TWS or IBG and the IB server. This will usually only occur during the IB nightly server reset; cases at other times indicate a problem in the local ISP connectivity.                                                                                                                                                                                                                           |
| 2137  | Cross Side Warning                                                                                                                                                                                                                                                            | This warning message occurs in TWS version 955 and higher. It occurs when an order will change the position in an account from long to short or from short to long. To bypass the warning, a new feature has been added to IB Gateway 956 (or higher) and TWS 957 (or higher) so that once can go to Global Configuration > Messages and disable the "Cross Side Warning".                                                               |
| 2168  | Etrade Only Not Supported Warning                                                                                                                                                                                                                                             | The EtradeOnly IBApi.Order attribute is no longer supported. Error received with TWS versions 983+. Remove attribute to place order.                                                                                                                                                                                                                                                                                                     |
| 2169  | Firm Quote Only Not Supported Warning                                                                                                                                                                                                                                         | The firmQuoteOnly IBApi.Order attribute is no longer supported. Error received with TWS versions 983+. Remove attribute to place order.                                                                                                                                                                                                                                                                                                  |
| 501   | Already Connected.                                                                                                                                                                                                                                                            | Your client application is already connected to the TWS.                                                                                                                                                                                                                                                                                                                                                                                 |
| 502   | Couldn't connect to TWS. Confirm that "Enable ActiveX and Socket Clients" is enabled and connection port is the same as "Socket Port" on the TWS "Edit->Global Configuration...->API->Settings" menu.                                                                         | When you receive this error message it is either because you have not enabled API connectivity in the TWS and/or you are trying to connect on the wrong port. Refer to the TWS' API Settings as explained in the error message. See also Connectivity                                                                                                                                                                                    |
| 503   | The TWS is out of date and must be upgraded.                                                                                                                                                                                                                                  | Indicates TWS or IBG is too old for use with the current API version. Can also be triggered if the TWS version does not support a specific API function.                                                                                                                                                                                                                                                                                 |
| 504   | Not connected.                                                                                                                                                                                                                                                                | You are trying to perform a request without properly connecting and/or after connection to the TWS has been broken probably due to an unhandled exception within your client application.                                                                                                                                                                                                                                                |
| 100   | Max rate of messages per second has been exceeded.                                                                                                                                                                                                                            | The client application has exceeded the rate of 50 messages/second. The TWS will likely disconnect the client application after this message.                                                                                                                                                                                                                                                                                            |
| 101   | Max number of tickers has been reached.                                                                                                                                                                                                                                       | The current number of active market data subscriptions in TWS and the API altogether has been exceeded. This number is calculated based on a formula which is based on the equity, commissions, and quote booster packs in an account. Active lines can be checked in Tws using the Ctrl-Alt-= combination                                                                                                                               |
